TYPE,Recipient Organization,Accession Number,Award Number,Project Title,Sponsoring Agency,Funding Mechanism,Project Director Full Name,Project Status,Keywords
PROJECT,SAES â€“ TEXAS A&M UNIVERSITY,0178272,,NONLINEAR MODELING AND COMPLEXITY ANALYSIS OF AGRICULTURAL AND NATURAL RESOURCES SYSTEMS,National Institute of Food and Agriculture,NIFA Formula,"Muttiah, R. S.",COMPLETE,"natural resources, mathematics, non linear models, agricultural resources, hydrology, watershed models, genetic markers, plant taxonomy, turbulence, information theory, remote sensing, land use, stream flow, soil erosion, storms, plant identification"
PROJECT,SAES - MICHIGAN STATE UNIVERSITY,0186984,,Engineering Methods to Improve the Safety of Commercially Produced Food Products,National Institute of Food and Agriculture,NIFA Formula,"Marks, B",ACTIVE,"almonds, beef, cooking, food engineering, food safety, heating, irradiation, meat and poultry, microbial modeling, moisture, nuts, pasteurization, peanut butter, pork, powder, predictive microbiology, process validation, thermal processing, turkey, water activity"
PROJECT,SAES - IOWA STATE UNIVERSITY,0217189,,Environmental and Genetic Determinants of Seed Quality and Performance,National Institute of Food and Agriculture,NIFA Formula,"Misra, Manjit",COMPLETE,"corn, environmental interactions, germplasm, plant biology, plant ecology, plant genetics, plant improvement, seed development, seed dormancy, seed freezing injury, seed germination, seed pathogens, seed performance, seed quality, seeds, soybeans"
PROJECT,UNIVERSITY OF WISCONSIN SYSTEM,0219027,2009-38926-20110,The Wisconsin Institute for Sustainable Technology will help advance Wisconsin in the 21st Century economy.,National Institute of Food and Agriculture,NIFA Non Formula,"Thomas, Christine",COMPLETE,"Sustainable Technology Biofuels Biorefining Wisconsin, bioenergy, biofuels program, sustainable technologies biofuel research, university of wisconsin-stevens point (uwsp), wisconsin institute for sustainable technology, wist"
PROJECT,SAES - UNIVERSITY OF HAWAII,0211206,,Nanotechnology and Biosensors (NCDC201),National Institute of Food and Agriculture,NIFA Formula,"Jenkins, D",COMPLETE,"isothermal amplification, modeling, biosensor"
PROJECT,EDENSPACE SYSTEMS CORPORATION,0215260,2008-33610-19586,Plant Expression of Cellulase for Biomass Ethanol Production,National Institute of Food and Agriculture,NIFA Non Formula,"Blaylock, M. J.",COMPLETE,"cellulosic ethanol, biofuels, glycozymes, energy crops, cellulase, switchgrass"
PROJECT,SAES - COLORADO STATE UNIVERSITY,0220106,2010-65504-20357,Interdisciplinary Graduate Research for the Production and Marketing of Oilseed Biofuel Products,National Institute of Food and Agriculture,NIFA Non Formula,"Byrne, Patrick",COMPLETE,"agriculture,, biofuels, oilseed,crops, diesel, engines, integrated, bioenergy,"
PROJECT,CALIFORNIA AGRICULTURAL TECHNOLOGY INSTITUTE,0208498,2006-38908-17681,California State University Agricultural Research Initiative Federal Funding Initiative (FFI),National Institute of Food and Agriculture,NIFA Non Formula,"Bezerra, J. A.",COMPLETE,"dna methylation, growth implants, food processing discharge, vineyard weed management, atc equipment, tomato transplanter, molecular aided breeding, expressed sequence tags (ests)"
PROJECT,SAES - UNIVERSITY OF DELAWARE,0207060,2006-35102-17405,Effect of Land Application of Wastes on the Fate and Transport of Pathogens in Soil,National Institute of Food and Agriculture,NIFA Non Formula,"Jin, Y.",COMPLETE,"manures, biosolids, fate and transport, hepatitis a, rotavirus, norovirus, adenovirus, water quality, food safety"
PROJECT,"KUEHNLE AGROSYSTEMS, INC.",0192859,2002-33610-12397,Magnetophoresis as Novel Means for Transgenesis,National Institute of Food and Agriculture,NIFA Non Formula,"Kuehnle, M. R.",COMPLETE,"magnetic properties, gene transfer, plant genetics, transgenic plants, genetic engineering, guidelines, phenotypes, flower color, day length, dna vectors, plant regeneration, cloning, dna insertion, dna sequences, gene expression, plant biochemistry, plant growth, traits, molecular genetics"
PROJECT,"Georgia Tech Research Corp, Georgia Inst of Technology",0201966,2004-35503-15220,Enzymatic Recovery of Ferulic Acid From Agricultural Residues For Natural Vanillin Production,National Institute of Food and Agriculture,NIFA Non Formula,"Chen, R.",COMPLETE,"ferulic acid, value added, residues, crop residues, flavorings, enzymes, food engineering, process development, molecular biology, food chemistry, chemical engineering, food microbiology, economic feasibility, production economics, corn, bran, esterases, bioconversion, enzyme substrates, fungi, bacteria"
PROJECT,SAES - PURDUE UNIVERSITY,0201473,,Detection and Control of Food Borne Microbial Pathogens for Improved Food Safety,National Institute of Food and Agriculture,NIFA Formula,"Applegate, B",COMPLETE,"bacteriophage, bioactive packaging, foodborne pathogens"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0405690,,"NUTRIENT, PESTICIDE, AND WATER MANAGEMENT FOR HORTICULTURE CROP AND WATER QUALITY PROTECTION",Agricultural Research Service/USDA,Other USDA Funding,ALBANO  J P,COMPLETE,"citrus, woody shrubs, ornamentals, irrigation, water management, salinity, tree nutrition, salt, fertilization, runoff, vegetables, fertilizers, nutrient management, pesticide usage, watershed management, water conservation, nutrient accumulation, pesticide accumulation, fate, transport, water contamination, management systems, systems development, aquatic plants, algae, pollution control, performance evaluation, delivery systems, plant growth, irrigation methods"
PROJECT,NEBRASKA AGRICULTURAL EXP STA,0407778,,"RESEARCH TO IMPROVE PRODUCTION EFFICIENCY/MEAT QUALITY, REDUCE FOOD SAFETY PATHOGENS, & MINIMIZE IMPACT OF ANIMAL AGRICULTURE ON ENVIRONMENT",Agricultural Research Service/USDA,Other USDA Funding,KOOHMARAIE M,COMPLETE,CATTLE PIGS SHEEP GENOMICS REPRODUCTION FOOD SAFETY ANIMAL HEALTH CARCASS TRAITS ANIMAL WASTE
PROJECT,SAES - UNIVERSITY OF CALIFORNIA AT DAVIS,0232719,,Bioguided Food Processing: identification of bioactive ingredients in side-streams,National Institute of Food and Agriculture,NIFA Formula,"Barile, Daniela",ACTIVE,"agricultural streams, bioactive compounds, dairy, health, mass spectrometry, prebiotics"
PROJECT,SAES - RUTGERS UNIVERSITY (COOK COLLEGE),0227974,,Sustainable Energy Production Using Duckweed Biomass Through Optimized Waste-to-Fuel Technologies,National Institute of Food and Agriculture,NIFA Formula,"Lam, Eric",ACTIVE,"animal feed, aquatic agronomy, biofuel, biomass, duckweed, fermentation, lemnaceae, sustainable bioenergy, wastewater remediation"
PROJECT,AGRICULTURAL RESEARCH SERVICE - US ARID-LAND RESEARCH CENTER,0409185,,"PREDICTING INTERACTIVE EFFECTS OF CO2, TEMPERATURE, AND OTHER ENVIRONMENTAL FACTORS ON AGRICULTUAL PRODUCTIVITIY",Agricultural Research Service/USDA,Other USDA Funding,WHITE J W,COMPLETE,CARBON CO2 AGRICULTURALL WATER EVAPOTRANSPIRATION GROWTH CHANGE DIOXIDE YIELD PRODUCTIVITY USE PLANT MODELING GLOBAL TREES ORANGE ALFALFA
PROJECT,AGRICULTURAL RESEARCH SERVICE,0404971,,IDENTIFICATION AND MOLECULAR CHARACTERIZATION OF AGENTS...ENTERITIS MORTALITY SYNDROME OF TURKEYS,Agricultural Research Service/USDA,Other USDA Funding,SPACKMAN  E,COMPLETE,"enteritis, mortality, molecular biology, poults, poultry diseases, turkeys, disease diagnosis, pathogenesis, epidemiology, immunity, enteric viruses, genomes, dna sequences, astro viruses, corona viruses, reo viruses, virus diseases (animals), disease control, vaccines, disease prevention, macrophages, in situ hybridization, cytokines, virus isolation, virus characterization, virus identification, virus genetics"
PROJECT,NEW MEXICO STATE UNIVERSITY,0420131,,DEVELOPMENT OF COMPETITIVE HIGH QUALITY AND ACALA 1517 COTTON THROUGH ENHANCED GINNING/TEXTILE PROCESSING PERFORMANCE,Agricultural Research Service/USDA,Other USDA Funding,HUGHS S E,COMPLETE,COTTON GINNING UPLAND COTTON BREEDING COTTON QUALITY VARIETY COTTON GENOMICS
PROJECT,WESTERN REGIONAL RES CENTER,0418775,,BIOREFINING PROCESSES,Agricultural Research Service/USDA,Other USDA Funding,ORTS W J,ACTIVE,BIOFUELS EFFICIENCY SEPARATION CORN MOLECULAR ENZYMES WHEAT SORGHUM PROTEIN FERMENTATION ENERGY ETHANOL STARCH ALCOHOL EVOLUTION BIOREFINERY REFINING
PROJECT,AGRICULTURAL RESEARCH SERVICE,0411572,,AUGMENTATIVE BIOLOGICAL CONTROL AND MASS REARING FOR BENEFICIAL AND PEST INSECTS,Agricultural Research Service/USDA,Other USDA Funding,MORALES RAMOS J A,COMPLETE,COTTON ARTHROPOD NATURAL ENEMIES WEEDS BIOLOGICAL EGG APHID CORN LYGUS CONTROL PARASITE PARASITOID INVASIVE SPECIES MICROBIAL CONTROL BENEFICIAL AUGMENTATIVE PREDATOR MITES FORMULATION MOSQUITO RISK ANALYSIS
PROJECT,MICHIGAN STATE UNIV,0409262,,CUCUMBER GENE EXPRESSION ANALYSIS,Agricultural Research Service/USDA,Other USDA Funding,LU  R,COMPLETE,PICKLING WASH PYTHIUM FUNGI POST VEGETABLES BRUISING WATER CUCUMBER MICROORGANISMS DETERIORATION STERILIZATION HANDLING DAMAGE CONTAMINATING BACTERIA HARVEST PATHOGEN
PROJECT,WESTERN REGIONAL RES CENTER,0409351,,EVOLUTIONARY ENZYMES AND SEPARATION PROCESSES FOR IMPROVED BIOREFINING OF CROPS AND RESIDUES,Agricultural Research Service/USDA,Other USDA Funding,ORTS W J,COMPLETE,BIOFUELS FERMENTATION EFFICIENCY ENERGY SEPARATION ETHANOL CORN STARCH MOLECULAR ALCOHOL ENZYMES EVOLUTION WHEAT BIOREFINERY SORGHUM REFINING PROTEIN
PROJECT,AGRICULTURAL RESEARCH SERVICE,0423072,,"GENETICS, POPULATION DYNAMICS, AND MYCOTOXIN PREVENTION IN PEANUT",Agricultural Research Service/USDA,Other USDA Funding,HORN B W,ACTIVE,AFLATOXINS ASPERGILLUS BIOLOGICAL CONTROL FUNGI MYCOTOXINS PEANUTS PHYTOALEXINS PHYTOALEXIN DETOXIFICATION ENZYMES PLANT DISEASE RESISTANCE POPULATION BIOLOGY STILBENOIDS
PROJECT,SAES - UNIVERSITY OF ILLINOIS,1000581,2013-67017-21221,Mechanisms of viral contamination in fresh leafy vegetables and tomatoes,National Institute of Food and Agriculture,NIFA Non Formula,"Nguyen, Helen",ACTIVE,"produce, sanitation., vegetable, virus"
PROJECT,1890 - LANGSTON UNIVERSITY,1004177,2014-38821-22432,Enhancing Health and Productivity of Dairy Goats Using Smart Technology,National Institute of Food and Agriculture,NIFA Non Formula,"Gipson, Terry",ACTIVE,"active rumen bolus, estrus, goat, mastitis, rumination, temperature"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,1002121,,Enhancing the Sustainability of Beef Production Systems through Nutritional and Environmental Management Strategies,National Institute of Food and Agriculture,NIFA Formula,"Johnson, Kristen",ACTIVE,"feed efficiency, mitochondria, greenhouse gases"
PROJECT,LYNNTECH INC.,1002897,2014-33610-21959,ALARM: Next-Generation Food-Borne Pathogen Detection,National Institute of Food and Agriculture,NIFA Non Formula,"Mueller, John",COMPLETE,"Adaptable, affordable, convective PCR, label-free, mobile, pathogens, rapid"
PROJECT,SAES - IOWA STATE UNIVERSITY,1005714,,"Crop Genetic Improvement and Adaptation  Using Gene Discovery, Phenotypic Prediction, and Systems Engineering",National Institute of Food and Agriculture,NIFA Formula,"Beavis, William",ACTIVE,"adaptive agronomic traits, field breeding infrastructure, genomics, phenomics, predictive models, reaction norm, systems engineering"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0405055,,INTEGRATED DRAINAGE MANAGEMENT AND FLOOD-TOLERANT CROPPING SYSTEMS FOR HUMID AREAS,Agricultural Research Service/USDA,Other USDA Funding,KING  K W,COMPLETE,"drainage, subsurface irrigation, irrigation systems, water tables, water management, flooding, flood tolerance, mitochondrial dna, corn, phytic acid, surface waters, cropping systems, soybeans, humid regions, water quality, crop yields, management systems, watershed management, adoption, watershed models, economic analysis, feasibility, dna, marker genes, plant genetics"
PROJECT,SAES - UNIVERSITY OF FLORIDA,0055908,,PRELIMINARY RESEARCH IN AGRICULTURE AND BIOLOGICAL ENGINEERING,State Agricultural Experiment Station,State Funding,"Haman, Dorota",ACTIVE,"drainage, engineering, equipment, irrigation, planning, research design, waste disposal, exploratory research"
PROJECT,AGRICULTURAL RESEARCH SERVICE,0228837,2012-10008-19727,Accelerated Commercial Development of Hydrotreated Renewable Jet Fuel (HRJ) from Redesigned Oilseed Feedstocks Supply Chains,National Institute of Food and Agriculture,NIFA Non Formula,"Isbell, Terry",ACTIVE,"Hydrotreated Renewable Jet Fuel Brassica Napus Western U.S. Wheat Rotation Oilseed Canola Rapeseed, biomass research and development initiative (brdi), brassica napus, hydrotreated renewable jet fuel, oilseeds, western us"
PROJECT,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0225996,2011-67017-30669,Genetic Identification and Characterization of Cellulases and Cellulolytic Complexes from Fungi,National Institute of Food and Agriculture,NIFA Non Formula,"O`Malley, Michelle",COMPLETE,"anaerobic fungi, biochemical engineering, biochemical purification, biofuels, bioinformatics, catabolic regulation, cellulase discovery, cellulose, consolidated bioprocessing, enzyme screening, ethanol, fungal cellulosome, heterologous expression, lignocellulosic biofuels, metagenomics, piromyces sp., protein engineering, rumen microbiome, saccharomyces cerevisiae, yeast"
PROJECT,SAES - CORNELL UNIVERSITY,0223750,2010-38502-21900,Sun Grant Program - Northeast Region,National Institute of Food and Agriculture,NIFA Non Formula,"Walker, Larry",COMPLETE,"biochemical conversion, bioenergy, bioproducts, energy security, feedstock conversion, feedstock logistics, regional competitive grants, rural economic development, sustainability"
PROJECT,WESTERN REGIONAL RES CENTER,0401945,,CONVERSION OF CROPS TO PRODUCTS WITH HIGHER ADDED VALUE THROUGH DIRECTED MOLECULAR EVOLUTION,Agricultural Research Service/USDA,Other USDA Funding,WONG  D,COMPLETE,"fuel, value added, evolution, engineering, new products, corn, winter wheat, wheat, enzymes, separation, fermentation, ethanol, alcohols, starches, molecular biology, gluten, energy levels, catalysts, cost reduction, energy costs, byproducts, product quality"
PROJECT,FRST - UNIVERSITY OF WASHINGTON-FORESTRY SCHOOL,0221141,,Nitrogen Fixation in Poplar: Increased Efficiency of Bioenergy Crop Production,State Agricultural Experiment Station,State Funding,"Doty, S",COMPLETE,"bioenergy, diazotrophic, endophytes, environmental pollutants, ethanol, nitrogen, nitrogenase, phosphate, plant hormones, poplar, pulp production, willow"
PROJECT,SAES - UNIVERSITY OF CALIFORNIA,0137255,,Production of High Value Added Products by Utilizing Biotechnology Tools and Renewable Agricultural Resources,National Institute of Food and Agriculture,NIFA Formula,"Ryu, D. Y.",COMPLETE,"value added, biotechnology, renewable resources, product development, bioengineering, molecular biology, metabolic pathways, plant genetics, transformation, processing, training, knowledge, market competition, food additives, pharmaceuticals, health foods, energy, supplies, genetic recombination, separation, fermentation, cell culture"
PROJECT,SAES - MICHIGAN STATE UNIVERSITY,0189369,2001-34158-11222,Advanced Technology Applications To Eastern Hardwood Utilization,National Institute of Food and Agriculture,NIFA Non Formula,"Kamdem, D. P.",COMPLETE,"copper, recycling, weathering, hardwoods, preservatives, cements, wood fibers, thermoplastics, ultraviolet radiation, heartwood, wood engineering, plant metabolism, extractives, wood decay, wood destroying fungi, wood products, wood chemistry, molecular biology, plant biochemistry, biotechnology, plant improvement, detection, antioxidants, composite wood, plant evaluation, regional research, product evaluation, performance testing, adhesion, comparative analysis, mechanical properties, polymerase chain reaction, dna fingerprinting"
PROJECT,SAES - CORNELL UNIVERSITY,0184953,,The Nanobiotechnology Center - Selective Molecular Filtration,State Agricultural Experiment Station,State Funding,"Craighead, H.",COMPLETE,"biotechnology, cell biology, fabrication, molecules, filtration, instrumentation, molecular biology, engineering, research equipment, sorting, process development, innovations, microanalysis, dna, dna sequences, automation, electrophoresis, cost reduction, macromolecules, size"
PROJECT,SAES - NORTH CAROLINA STATE UNIVERSITY,0165263,,SOUTHEAST DAIRY FOODS RESEARCH CENTER,State Agricultural Experiment Station,State Funding,"Klaenhammer, T",COMPLETE,"application laboratories, cheese, dairy, fermentation, ingredients, microbiology, milk, probiotics, processing, protein functionality, rheology, sensory, texture, whey proteins, yogurt"
PROJECT,SAES - CORNELL UNIVERSITY,0191129,,RNA-Nanospheres for Controlled Gene Delivery Systems,National Institute of Food and Agriculture,NIFA Formula,"Luo, D.",COMPLETE,"gene therapy, controlled release, microspheres, dna, rna, transfection, delivery systems, biodegradation, production systems, drugs, genetic engineering, animal physiology, cell biology, molecular biology, agricultural engineering, gene structure, gene function, production efficiency, process development, optimization, cytosol, endoplasmic reticulum, new technology, microscopy, product evaluation"
PROJECT,SAES - UNIVERSITY OF ARKANSAS,0191737,,Realizing Biotransformation Potential of Extremophiles,National Institute of Food and Agriculture,NIFA Formula,"Kim, J",COMPLETE,"archea;, bioprocessing, extremophiles, bioconversion"
PROJECT,SAES - IOWA STATE UNIVERSITY,0197975,2003-34515-14027,Plant Biotechnology-Iowa: Technologies to Recover Recombinant Proteins from Plants for Use as Therapeutics and Industrial Enzymes,National Institute of Food and Agriculture,NIFA Non Formula,"Johnson, L. A.",COMPLETE,"corn, maize, recombinant proteins, therapeutics, enzymes, extraction, protein purification, biotechnology, new products, process development, agricultural engineering, new technology, processing, transgenic plants, dry milling, time, temperature, lactic acid, kinetics, wet milling, flaking, grinding"
PROJECT,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOG,0200575,2005-35504-15222,Development of a Novel Fermentation Process for the Anaerobic Conversion of Glycerol and Co2 into Succinic Acid Using E. Coli,National Institute of Food and Agriculture,NIFA Non Formula,"Gonzalez, Ramon",COMPLETE,"anaerobic fermentation, bacterial genetics, bacterial physiology, bioconversion, bioengineering, byproducts, carbon dioxide, dna, escherichia coli, gene products, genetic engineering, glycerol, microbial cultures, molecular biology, process development, strains, succinates, value added, waste utilization, fermentation"
PROJECT,SAES - PURDUE UNIVERSITY,0202759,,Development of biosensors for food safety applications based on microfluidics and nanomaterials,National Institute of Food and Agriculture,NIFA Formula,"Lu, C",COMPLETE,"bacteria detection, biosensor, electroporation, immunoassay, listeria monocytogenes, microfluidics, nanoporous silicon"
PROJECT,1890 - WEST VIRGINIA STATE UNIVERSITY,0218578,2009-38850-19795,INTEGRATION OF AGRICULTURAL WASTE UTILIZATION AND BIOENERGY PRODUCTION USING ANAEROBIC DIGESTION,National Institute of Food and Agriculture,NIFA Non Formula,"Huber, D. H.",COMPLETE,"anaerobic digestion, poultry litter, animal waste, bioenergy, bacteria, metagenomics, microbial ecology, methane, agricultural waste utilization, sustainability, methanogen"
PROJECT,GRASSROOTS BIOTECHNOLOGY,0217784,2009-33610-19670,Improving Root Architecture in Energy Crops,National Institute of Food and Agriculture,NIFA Non Formula,"Elich, T.",COMPLETE,"biofuels, energy crops, root architecture, switchgrass, brachypodium, carbon sequestration"
PROJECT,PURDUE UNIVERSITY,0219122,2009-34634-19916,Water Quality: Development of Genome Scan and Optical Scattering Imaging Technologies for Microbial Source Tracking,National Institute of Food and Agriculture,NIFA Non Formula,"Tseng, Charles",COMPLETE,"E. coli, bacterial contamination, bacterial identification, bacterial imaging, e. coli, environmental problem, genome scan, genomic scan tech., microbial contamination in water, microbial source tracking, mst, optical scattering, water quality"
PROJECT,WAYNE STATE UNIVERSITY,0221540,2010-38889-20726,"Center for Renewable Transportation Fuel,MI",National Institute of Food and Agriculture,NIFA Non Formula,"Ng, Ka-Yuen",COMPLETE,"Geonomics, Photobioreactor, algae, algae biofuel, and Catalysts, biodiesel, genetic modification, non food biomass feedstock, photobioreactor, renewable fuel, renewable fuels"
